Year,RMC,RCC,RDPI
1946,117.9,49.7,826.2
1947,126.0,59.2,767.7
1948,137.3,67.6,790.9
1949,157.1,81.5,800.0
1950,186.7,99.2,871.8
1951,198.8,97.7,888.5
1952,220.4,115.1,918.5
1953,247.2,129.6,968.5
1954,279.9,133.8,982.5
1955,328.0,160.1,1057.1
1956,362.9,171.3,1114.0
1957,381.9,175.1,1138.1
1958,405.2,171.3,1143.6
1959,446.7,196.6,1204.5
1960,477.4,206.8,1234.5
1961,515.1,212.0,1276.9
1962,557.3,229.5,1341.4
1963,604.9,254.6,1389.2
1964,652.6,281.9,1491.9
1965,696.5,309.5,1581.3
1966,718.2,319.1,1659.0
1967,736.2,325.1,1722.5
1968,755.2,342.8,1796.0
1969,759.1,352.0,1836.5
1970,736.9,344.6,1896.1
1971,764.0,368.4,1979.8
1972,821.8,403.8,2079.2
1973,860.8,434.7,2203.4
1974,850.5,409.5,2173.6
1975,853.2,384.8,2207.1
1976,908.6,402.5,2289.1
1977,995.0,437.1,2369.1
1978,1086.8,477.5,2466.7
1979,1138.7,488.4,2470.4
1980,1124.4,434.5,2438.1
1981,1098.1,415.7,2471.0
1982,1068.5,411.1,2509.0
1983,1120.7,446.7,2618.9
1984,1196.2,506.8,2802.7
1985,1340.1,567.5,2889.7
1986,1497.2,608.0,2997.4
1987,1602.7,615.0,3044.3
1988,1729.7,629.9,3168.8
1989,1830.2,652.7,3243.3
1990,1910.6,630.8,3279.1
1991,1963.5,598.8,3277.8
1992,2028.2,587.9,3386.6
1993,2079.1,613.3,3399.2
1994,2139.3,688.9,3476.2
1995,2181.6,766.9,3548.7
1996,2249.9,811.9,3625.6
1997,2334.3,837.9,3731.3
1998,2483.3,884.7,3923.9
1999,2655.8,934.3,4018.5
2000,2788.4,1015.4,4177.7
2001,2985.0,1072.6,4227.4
2002,3317.3,1118.5,4352.5
2003,3709.0,1150.1,4436.1
2004,4133.6,1181.7,4595.9
2005,4548.5,1191.2,4626.8
2006,4799.5,1209.2,4723.8